class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,class_79,class_80,class_81,class_82,class_83,class_84,class_85,class_86,class_87,class_88,class_89,class_90,class_91,class_92,class_93,class_94,class_95,class_96,class_97,class_98,class_99
1.9472724,-0.6059569,0.62214726,-1.9541172,-1.3924967,-0.958262,-0.96586096,0.9495323,1.5537373,0.05560197,0.15255263,-1.4762055,0.5124341,-1.0213664,0.52622163,2.1463504,-0.4695923,-1.3916271,-0.258356,2.5198965,-1.157317,-1.3859485,-2.7337506,1.6582711,-3.111672,0.3850083,0.37314326,-1.0745525,-0.67907447,-1.491028,-3.0312965,1.8832605,-1.5444988,-2.4530704,-0.5040002,-1.5329161,-1.7113018,1.1254525,-1.7713058,-0.8158621,0.7854961,1.2775458,-0.81572235,-1.8118201,-0.5157303,2.2817664,-1.4540089,-3.3407733,-3.1120756,-0.20611697,2.0494277,-0.9795577,1.478168,1.5630335,-0.26792496,-2.0162864,-1.0358287,-0.25227198,-1.0680654,0.6994276,0.09903981,-0.47794527,-0.06293945,0.8620638,-0.9948237,-0.21092632,0.72427547,0.23786682,2.5502973,2.7604127,0.29095766,0.6466578,-0.8734495,1.3510717,-1.6626065,-1.9651297,-1.2599374,-1.043239,0.5804037,-2.1418152,-1.356324,0.22871931,0.685579,-0.10206718,-2.753163,-1.344222,-0.938131,1.8575982,0.99173474,-0.47630194,1.085278,-1.2052208,0.048580285,2.458471,-2.1266263,-0.85581553,2.6394026,1.7182279,1.7850628,-2.5685663
2.617357,-1.4572078,0.24873821,-1.3193055,-0.6386486,0.345913,0.55130595,0.16321042,2.8273,0.06880233,-0.61150247,0.34939593,1.2675736,-2.6070173,1.6103245,4.627447,0.63879603,-1.3359005,-2.695222,3.2380767,-0.63773745,-2.0000787,-4.522819,1.1205959,-2.838029,-1.5587021,0.49288645,-3.263478,-1.3299307,-3.1271882,-3.0941155,0.60495657,-0.9919356,-3.4668722,-1.2004268,-2.7811155,-2.7616806,0.6374299,-2.8957322,-0.4455539,3.157861,-0.43877164,1.5872679,0.11093147,-1.6992309,3.842287,-2.5843477,-4.7220135,-5.1973968,-1.7143551,4.0139513,0.97135013,-0.40917483,0.36942342,-0.14417556,-4.185083,-1.0503933,-0.88835305,-1.2228032,3.5216703,1.1461341,-0.6065448,0.25711077,1.7821555,-0.098102316,0.0808638,3.2454727,0.41034308,4.3561854,2.7719743,-1.8184296,3.7323627,-3.2031925,1.3708118,-0.36909425,-2.911901,-1.0414528,-2.6337068,-0.6467957,-2.8551385,-2.5333006,-1.4233552,1.9337708,2.245863,-5.3515615,-1.5050846,1.5600542,1.0529786,1.6208777,-0.1031235,1.1042622,-1.4531803,0.7127124,4.3727365,-1.1175561,0.4436771,2.597379,2.9908829,1.8752196,-3.835046
-0.34946674,1.1329023,-0.05590637,-2.2547286,-0.9413106,-1.8778656,-2.6868377,1.6430482,0.7033747,-1.0162553,1.0489666,-1.6827545,0.15873928,0.48903573,-0.40707076,-0.032948457,-0.86418813,0.912579,1.1797633,0.6453978,0.6013465,-0.534364,-1.5830106,1.8582138,-0.98580897,0.37314707,0.4698753,-3.3052604,-1.902654,-2.881688,-1.1151798,1.4621927,0.78283036,-1.1577721,0.40008986,-1.5955942,0.022529067,1.5029185,-1.1212807,-1.6078365,0.66459084,0.8634803,-1.5937915,-2.3131056,-0.3088398,-0.28425527,-1.1024249,-0.9966083,-3.0458415,0.75188124,2.1616974,0.0608526,-0.036809552,2.2971768,1.6171768,-0.67845637,0.76195675,0.011283808,1.3220334,-0.7704009,-0.26257172,-0.44576004,-1.9536904,-0.43280983,-0.74454415,0.006980337,-0.034071468,-0.3008335,1.8049793,0.99245065,-0.76846105,1.8416665,1.1705451,1.1333969,-3.4189973,0.33850083,-1.047284,-1.7349622,0.36725512,-1.8811487,-0.51868975,-0.72269666,0.26374337,-1.91757,-1.7013444,-0.790304,-1.2688442,1.6728928,-0.7213154,-2.318235,0.9134678,0.8442925,-0.88955534,0.03646704,-0.09032677,0.06011948,0.6112797,0.42578417,1.484721,-0.5506925
3.5675292,-1.7465854,1.2778349,0.7390431,1.5000275,3.1111844,1.0992022,0.17224498,2.2473128,2.102722,-2.956795,2.3019183,0.2016974,-3.1000195,2.5014954,2.738245,-0.33462283,-0.74934584,-3.416762,2.4447408,-1.3018626,-1.7882385,-3.1489794,-0.021975994,-2.9653068,-0.44808334,-0.50085896,-0.6377615,1.6887654,0.4407004,-1.3051142,-0.91358954,-3.8722022,-1.4718344,-1.7138206,-3.3021793,-0.037149735,-0.116710074,-1.9556463,-0.6272851,2.4311898,-3.151304,0.7901237,0.5270916,0.2865947,0.11314496,-1.582634,-3.6860683,-3.8923378,-0.4358511,3.458351,-0.68898517,2.3343775,-0.6998594,-1.2250602,-3.1621213,-2.175561,-1.3496109,-3.329202,4.146059,1.6309036,1.045075,1.6478999,1.4829111,-0.07969658,1.8275604,4.732049,1.649066,2.5070212,1.2890486,-3.6317184,2.7248433,-5.205613,2.4634583,1.4701788,-4.1897726,-0.4020205,-2.0975537,-1.1576612,-3.0345523,-4.765621,-1.0862164,3.1617699,1.957503,-2.919466,-0.8483045,2.555211,0.987706,1.3043746,1.5857692,0.3951492,-0.6834924,2.1637616,2.5395594,-0.5706833,-0.32945085,2.4510272,1.0924399,-1.1636714,-2.2538054
1.5980914,-0.6562495,1.2413231,0.18228465,1.8966247,-0.49053556,2.0283203,2.4501512,1.2558675,1.9525467,1.3112469,-0.69545674,2.254379,-4.023682,0.97337633,2.163743,1.7101628,-0.5929259,-1.5096455,2.9415116,0.9143903,-0.13770238,-0.59398973,-1.7771256,-0.37706256,-1.592464,0.8737984,-4.106162,-1.8415334,-2.488666,-1.2068502,-0.16663969,-2.2998438,-1.0975349,1.209125,-4.229412,-1.0040972,1.3595941,-2.7928772,0.8934834,1.5111717,-2.2326605,0.46900365,-0.032071393,1.3199947,2.7801335,-2.9321601,-5.2685165,-3.381354,-2.632828,2.8597052,0.76872224,-0.9655299,1.2726972,1.4180878,-5.4553943,-1.7805015,-1.4883776,-1.6656922,0.16861057,-1.2048575,-0.17900982,0.2534789,1.1663246,1.2461053,-0.46880853,0.1045881,2.3262439,2.7648997,2.9016747,0.9769773,2.4389105,-2.8075202,1.9471241,-0.11278436,-2.024268,-2.2898366,-3.441166,-2.0131345,-4.127379,-3.3453891,-2.7060463,2.266991,2.3788323,-2.5100868,-1.0233754,-1.1608223,2.2394848,2.0277665,-1.9411134,2.4962225,0.41139713,0.012572717,2.0307465,-0.69979215,-0.39220887,0.4274098,1.857502,1.2423292,-3.6379707
-1.0233303,1.5421493,2.5941057,-3.9896097,-0.6203367,-1.9720283,-2.123353,-0.1607471,-1.0972614,-1.5120448,1.8422155,-3.3353071,3.3338442,0.14847733,-1.1720724,-4.2148395,-2.0841255,1.6818918,1.9881473,0.7470676,-1.373425,0.051199656,-0.2707994,0.09404096,1.291714,-0.5807932,-1.4333017,-3.0168562,-1.2442542,-2.3036435,-0.0065540727,1.3225005,-1.2320462,2.0099232,0.4998621,0.7209599,2.1134505,1.2663356,2.2172496,-1.3494165,-0.11666547,0.16473138,0.5302184,-2.4162548,-0.38524073,0.7523219,-0.3623339,0.85490614,-1.2007573,-0.7772512,-0.3963582,0.42824456,-1.6133733,1.6553231,1.6574293,-0.056030523,-0.12433389,1.319222,-0.29969653,-1.3501029,-2.2343988,1.830133,-1.8378366,2.6644356,-1.5693908,-1.4774343,-0.5596516,2.1745787,-0.6928413,2.3289678,0.16455255,-0.38899702,-0.18588309,-0.37561518,-3.4861987,-0.3511583,0.577184,0.4065265,1.1621847,0.68799335,0.77936226,-0.06921156,-2.8382616,-4.0216846,-1.5271198,-0.63824606,-1.8959309,-0.11060321,1.4582437,-1.4878488,1.4205136,-0.6092701,-1.9911908,-0.5322866,-3.973292,-0.20198277,1.0168116,-1.456132,1.0056,-0.06181196
-1.0646961,2.6949282,2.5391276,-0.47075617,3.3420885,-0.6339748,0.34046808,2.191032,0.9783271,2.0702055,2.1578705,-1.6454015,2.4210393,-2.7275016,1.3811903,-2.253086,0.5056656,2.1148,-0.685045,1.421203,1.6447235,3.218705,3.8447452,-3.5648036,4.0243077,0.03253329,1.1679683,-5.6933355,-2.8243606,-3.0733848,2.2459097,1.4828225,-0.71461684,3.5139506,2.6519613,-4.0489287,2.6157951,0.13941368,-0.83351874,1.3450555,-0.66633976,-2.7174246,0.6635225,1.6945454,1.452066,-0.9403232,-2.079353,-3.1620598,-3.8590295,0.48276606,-0.0920733,2.9768136,-0.6477715,2.0402837,0.8520353,-3.6915379,0.7264871,-2.7746422,-0.5484874,-0.99254155,-2.0303578,-0.42794976,-1.8166714,0.2787438,2.8920722,-1.0450555,0.10551637,1.5116783,0.6543935,1.0920074,-1.6734886,2.386969,-3.3007996,0.8790557,-0.09335691,1.0555125,-1.4537282,-2.868567,-4.3057427,-4.6398697,-2.7253735,-2.7630239,-1.0363594,1.1515243,-1.7478855,-3.2896152,-2.112929,0.92701954,2.129265,-3.23302,2.7181606,3.9092076,-0.6383,-1.0931295,-3.536025,-3.3255103,-0.83274925,0.90875465,0.09981811,-1.3745725
1.6356144,-1.360501,0.4889689,-0.03153421,3.6369607,2.6279054,3.064516,-0.1682584,1.5388072,2.220382,0.7370922,0.27114233,3.8572083,-2.6139832,3.15773,1.1225042,4.1528754,0.3088476,-2.3144064,1.3402075,2.095595,-0.6402112,-1.745916,-4.5277715,1.731782,-0.37796506,-0.76406556,-4.672306,-3.2575533,-3.295966,0.2700522,-2.29305,0.22427489,-0.83245987,2.3663142,-3.420908,-2.1358087,-0.23865557,-0.97927797,1.283278,0.8413185,-2.925069,0.88618296,-0.8211095,0.1839168,1.7944771,-2.0466676,-4.3921523,-1.5288161,-0.934233,0.80618644,2.9023426,-1.7761805,-1.7110405,0.21101514,-3.9447556,0.2916779,-1.7724386,0.71203995,1.2746413,1.483127,-0.4259287,-0.6436085,0.27670884,-0.8682657,1.6282203,1.3450656,3.3292618,2.8129106,1.6349505,-1.2239153,0.23956299,-2.6273396,0.6374398,3.037413,0.28054577,-0.98518896,-2.92887,-2.4004197,-3.1127503,-2.7560387,-3.5023863,2.9142795,3.562586,-2.585904,-1.7722554,1.0658102,-0.50209963,2.328449,-0.44247627,0.7796654,-0.81285,2.5027628,1.2065035,-0.4945582,-2.109928,0.6111602,1.5477916,0.060311083,-1.268439
-2.64632,4.8691964,1.9205023,-5.1827526,-0.28628746,-2.1842873,-1.8284445,2.656546,-1.4163408,-1.8371288,3.4125721,-5.4923744,2.1491885,-1.0355103,-2.3256102,-4.15467,-0.4166736,2.7505677,3.1925952,0.6607135,1.149746,2.0782852,2.3205614,-1.6509043,2.739257,-0.70814985,1.1547104,-7.2353253,-4.9775467,-4.6586037,-0.48882765,4.184461,0.6472439,2.2524667,1.7808175,0.12630957,1.6171148,2.006921,0.73606753,0.03129465,-0.6094754,-0.42512465,0.12357101,-1.6749156,0.27940577,2.033903,-1.3800267,-2.1381533,-3.224786,0.4434177,-0.05198185,3.075524,-2.5998232,4.9042635,2.3036475,-1.0922396,1.2908909,-1.0161465,1.7314408,-2.039754,-2.3445826,-1.0848101,-4.1801186,0.97750676,0.46781445,-1.7048349,-1.5432141,0.09434128,-0.6393654,2.7483728,2.54743,0.9778764,0.7319597,0.50493526,-5.0536814,1.8403757,-1.0707365,-1.154171,-0.73930335,-1.9157261,0.28324938,-2.328544,-3.4659278,-4.59688,-1.4611917,-3.5387745,-2.7626696,1.0881833,0.8175702,-4.2174964,2.3213956,2.746158,-1.502023,-2.4215648,-4.6045995,-2.0913875,0.64566904,0.13401462,2.4081492,-0.39307478
-1.3132064,4.2852945,2.165823,-1.8806587,2.006246,-1.0163507,-0.59695256,3.493828,-0.026763994,1.2045506,1.120388,-1.6075976,0.55718035,-2.362247,-0.14236999,-3.3906317,-0.7859486,1.9663512,0.55632085,1.3106014,1.1837687,3.026079,3.4636762,-2.3583753,2.898299,-0.20479903,3.8951826,-6.3385997,-2.6169465,-2.1073177,-0.7202481,3.1056576,-2.4900815,2.7804601,2.2432835,-2.9977157,2.1182315,0.26674247,0.097489156,-0.120281234,-0.38879073,-2.821733,-0.47490266,-0.48636982,1.0414155,0.020458885,-1.9370155,-2.9079418,-3.6628962,0.92528284,0.5845027,1.4535393,-0.15318084,4.1828284,1.9154071,-1.7390858,-0.5469174,-2.3729484,-0.569978,-0.81695306,-2.12997,-0.3578132,-2.2553015,-0.7309527,1.8438361,-0.15089983,-0.26403028,0.9551835,-0.20580146,1.2422806,-1.6041651,2.4660807,-1.7092956,1.6450278,-2.3422863,0.9632511,-1.4495777,-2.3532584,-2.1573558,-4.140447,-3.689248,-2.7311654,-1.50622,-2.428211,-0.81644243,-1.6243688,-1.5184795,1.9043509,2.2442122,-4.179002,2.436838,4.0700126,-0.99080217,-1.1325015,-2.3421192,-1.8549783,0.92770624,0.43438643,0.33565238,-0.31002524
