class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,class_79,class_80,class_81,class_82,class_83,class_84,class_85,class_86,class_87,class_88,class_89,class_90,class_91,class_92,class_93,class_94,class_95,class_96,class_97,class_98,class_99
8.912431,-0.72049856,-0.17799288,0.20781018,-0.2244562,-1.029271,0.044234782,-0.29134008,-0.6704149,0.44973037,0.3132973,0.8988008,-0.015595859,0.730589,-0.37293884,0.55851424,-1.6158333,1.0533516,0.5044277,-0.6485631,-0.36868718,0.99441457,0.3306848,1.1398574,-0.32175642,0.055156328,-0.2661794,-0.1971858,-0.6988304,-0.94316703,-0.06828502,-0.34932473,0.40942562,-1.1490525,2.2246025,0.21875575,0.31382626,-0.018372815,0.22347401,-0.44267678,-0.51678455,0.19548075,-0.86189187,-0.013534188,-0.16719416,-0.28760216,0.45510936,0.047294416,0.0757326,0.3474073,0.041730784,-0.564656,0.09404917,0.14632247,0.38267386,-0.17375319,0.56109923,0.41328707,-1.0539873,-0.5938142,-0.3687168,-0.5762131,-0.54860747,-0.46397433,-0.7263555,0.8725722,-0.6830683,-0.9722846,0.24204472,-0.28744677,0.05232017,-0.9866301,0.22659431,-0.7246284,0.7877252,-0.33050048,0.23338106,-0.6865338,-0.107154906,-1.2887436,-0.70079577,-1.0821292,-0.68694514,-0.99103785,0.13943148,0.22885317,2.5996594,0.1370278,-0.93523985,0.23445453,-0.87089354,-0.8944317,-0.1190985,-0.33068815,-0.65252596,-0.41550115,-0.44523865,-0.10187554,0.677857,-0.91229534
7.9605036,-1.4717051,-0.60591173,0.46307126,-0.28697506,-1.0037695,0.010433519,-0.5959184,0.3074238,-0.61941224,-0.33493975,0.26445514,0.253482,0.47255838,0.43685383,1.218854,-1.6178627,-0.048269212,0.7093085,-0.1854208,-0.12369695,0.60332906,-0.07965184,-0.4220186,0.47349256,-0.57862884,0.34623724,-0.411457,0.3188622,-1.1728204,-0.57982403,-0.33567876,0.8215386,-0.59338623,3.2597325,-0.3972346,-0.14859776,0.30685723,0.41713554,-1.1520455,-0.4433831,0.19886664,-0.23297547,-0.54738605,-0.7998378,0.52021646,-0.04351919,0.0167295,0.4370176,-0.03537761,0.12351661,-0.5321771,-0.4097636,0.21408516,0.3383848,-0.19321829,0.4017907,0.59935147,-0.8608619,0.6841958,-0.44093856,0.081394024,-0.23556998,-1.1573298,-1.0871212,1.6979145,-0.104985125,-0.6439222,-0.010876656,-1.1607876,0.4823755,-0.44811577,-0.02591877,-0.43669668,1.2865825,-0.22688496,0.54585916,-0.24928904,-0.32856095,-1.2544839,-0.19436699,-0.6978649,-0.8779246,0.88425624,-0.066153705,0.9087674,4.3073893,0.046799257,-0.54957974,0.17096265,0.54655313,-0.07783003,-0.15178186,0.26698774,-1.2572105,-0.46835446,-0.44214478,0.6392797,0.18688078,-1.037637
8.184495,-0.69186246,-0.30745837,0.029816529,0.33186483,0.31150362,-0.019497273,-1.1737877,-0.81909955,0.11389258,0.59766376,2.4789026,-0.22186203,0.51377904,0.14547029,0.3582655,-1.3797458,-0.08646511,0.30777866,-0.38341364,-0.40659526,0.10144445,0.11713181,0.9567308,-0.12389994,-0.9588144,-0.26075542,0.13881974,-0.58663106,-0.27313653,-0.78479725,-0.4503193,0.54638314,-1.013299,2.3885798,0.5024884,-0.46395883,0.2942359,0.092013836,-0.40839842,-0.54425776,-0.23336206,-0.82323617,0.124510735,0.48395678,-0.7648518,1.1980352,0.12504995,-0.5295779,-0.48912084,-0.35040918,-1.0639582,-0.3974851,-0.63942724,0.15645014,-0.6483252,-0.14776127,0.9193318,-0.46137443,-0.9937812,-0.18307796,0.49777564,-0.19124383,-0.71379465,-0.13980803,1.3248962,-0.24809311,-0.38348052,-0.09207434,-1.4817334,-0.12711163,-1.0294081,-0.55345184,-0.36694252,2.766788,-0.63605255,0.071036875,-0.924652,-0.42162895,-0.92366105,-0.71451867,-1.0226436,0.021232065,-0.01229007,-0.24938735,0.6904525,0.65875715,-0.35187793,-1.5187862,0.66414887,-0.95749867,-0.2855961,-0.73251265,0.078490525,-0.009157125,-0.17721549,-0.8073186,-0.029304344,0.55560434,0.041497648
9.299834,-0.7226636,-0.22922648,0.67389053,-0.16582176,-0.48673016,0.010218417,-0.6058612,-0.63782156,0.49281424,0.346028,1.5927123,0.14075346,0.34315586,0.6981355,0.97919357,-1.6286759,0.8720739,0.93816376,-0.9903324,-0.42242914,0.82774967,0.053905986,0.7265955,-0.16963461,-0.054729477,-0.32245737,-0.30749816,-0.55436033,-0.5166569,-0.35958463,-0.23672459,0.34638005,-1.0507597,1.8555735,0.52717453,-0.36126098,-0.30845976,0.4669276,-0.5706248,-0.9009572,0.34435585,-1.3381681,0.11539391,-0.37641943,-0.96048194,0.4981528,0.28264147,0.1012193,-0.3846142,-0.16783983,-0.972599,-0.14377533,-0.07689998,0.45751256,-0.6011105,0.41157034,0.21938096,-0.93680537,-0.70634013,-0.6022698,-0.13044408,-0.34971252,-0.3683896,-0.47134024,0.64829445,-0.20928231,-0.48124638,0.2763842,-0.6286393,-0.0017468594,-0.83384037,-0.2681784,0.22174945,1.5996832,-0.28269002,0.014676122,-0.47178182,-0.6426022,-1.0465074,-0.70907414,-0.8169029,-0.4128384,-1.0139325,-0.0569658,-0.22076334,1.0854915,-0.24910028,-1.0513729,0.35107628,-0.6525216,-0.43594176,-0.25952756,-0.18865362,-0.81279975,-0.50307465,-0.48935074,-0.0168521,0.29748595,-0.72612834
8.89001,-0.48254853,-0.6478975,0.71901166,0.051021427,-0.45177007,0.14628929,0.06646502,-0.88924754,-0.10636075,-0.107920244,2.0055637,0.77525616,0.6010281,0.98324466,1.0842782,-1.5483644,0.35484692,0.7071871,-0.96217,-0.36366645,0.6219269,0.21574958,1.59723,-0.09422979,-0.3897456,-0.17271248,-0.1514374,-0.774151,-0.7084618,-0.6754705,-0.1744163,0.25488293,-0.74659926,2.0229194,-0.10066011,-0.60738254,0.061640844,-0.0669151,-0.70292306,-0.6927518,0.31426543,-0.5809363,0.43215543,0.44434294,-0.072765425,0.5208367,0.15063684,0.3407775,-0.8632507,0.11251932,-1.0542707,-0.37805873,0.15947318,0.98843306,-0.4884534,0.28572875,0.438296,-0.87103957,-0.44758222,-0.21671039,-0.20153452,-0.1599792,-0.388229,-0.765233,1.0743551,-0.047985565,-0.51894784,0.18777248,-0.77419466,0.08401282,-0.50776315,-0.19635327,0.54719454,1.0138742,0.032485474,-0.42860755,-0.82990146,-0.5533706,-1.0495666,-0.62940353,-0.82970846,-0.6586937,-0.43743256,0.18799166,0.4036403,1.1520985,-0.3221144,-0.92596674,-0.057190012,-0.6402076,-0.2645046,-0.25918418,-0.031245127,-0.5988685,-0.36543408,0.06690938,0.33436298,0.33250612,-0.94854033
-0.8917352,8.86178,0.5527426,-0.25395817,-0.6805483,-0.9551539,0.55113417,-1.1348199,-0.11093862,0.55775094,0.7114627,-0.4200301,-1.3929542,-0.099713095,-0.42052418,-0.7742795,0.35298148,-0.6299963,0.34017834,-0.16009714,-0.59861255,-0.24181047,0.9838623,0.21785298,0.20536672,-0.09950717,1.1976798,-0.08768897,-0.9442757,-0.104487196,-0.33737507,0.9369468,0.13348937,0.22114953,-1.1017734,0.33021638,1.6128484,-0.26159734,0.55929506,0.08716281,-1.1075008,-0.31179702,0.17194068,0.09062612,1.8634795,-0.21448171,-0.9379137,0.235725,0.6375373,-0.37370828,1.5618093,0.61805826,0.5744548,-1.163598,-0.39345953,-0.4060005,-1.0131699,-0.55232936,0.5702464,-0.62174714,1.0662655,-0.4205081,-0.2475928,0.51737976,-0.19415098,-0.50942236,-0.27264953,-0.26134977,-0.8018405,-1.5742025,-0.2174535,0.24710368,-0.6427125,-0.46522382,-0.4028787,-0.9610072,0.16314827,-1.2514704,-0.69313914,-0.3680603,-0.42885095,-1.2695693,0.21937142,0.021846944,-0.24785194,-0.0034402795,0.1503237,-0.15475498,0.004610155,-1.1915691,0.180177,0.0789732,-0.94163436,0.68648505,-0.3564594,0.5987153,-1.0487471,0.32966617,0.26881117,-0.46171704
-1.0423809,9.14062,0.8997206,-0.15888754,-0.3945451,-0.18867749,0.2162577,-0.87085074,-1.0736656,0.26630852,0.814756,0.051331803,-1.3317108,0.38239864,-0.16307354,-0.7976684,-0.22775349,-0.56147116,0.097843125,0.020632518,-0.7023495,0.15267116,2.1023242,0.51803476,0.41273212,-0.49845654,1.7843673,0.36051548,-0.8485104,0.06451045,-0.7639435,1.0465205,-0.05894276,0.30793947,-0.31018332,0.19692548,0.9606574,-0.8227787,-0.31609422,-0.14335957,-1.3312334,-0.8077979,-0.019692108,0.2523837,1.5024632,0.9519021,-0.50709194,0.19167094,-0.013353188,0.21925656,0.21695232,0.9268986,0.1196713,-1.504279,-0.651117,-0.5680421,-0.91624653,-0.565788,0.57950824,-0.68127453,1.114473,-0.48974174,0.018616494,-0.3788826,-0.43046215,-0.46499032,0.108295605,0.13717829,-0.7648384,-1.2676249,-0.1943066,-0.021691088,-0.15516613,-0.7100924,0.07549635,-0.7543356,0.35957703,-1.2551488,-0.41510555,-0.25528008,-0.38943806,-1.2707381,0.008108891,0.42826205,-0.26636547,0.62284654,0.06709321,-0.10589008,-0.05227005,-0.80350107,0.3777169,-0.38057843,-0.5263794,0.20604905,-0.32185805,0.29185706,-1.2676117,0.30760247,0.67153025,-0.2415996
-0.85237455,7.483356,1.6331838,-0.79686487,0.95277864,-0.7116563,0.34801176,-0.9985178,-0.66997236,0.04180649,0.5543377,-0.018318966,-0.2928107,-0.22654974,-0.21042386,-0.67830527,0.27005494,0.39591998,0.79607785,-1.2783357,0.4154599,-0.5180093,0.78576547,-0.16480243,0.54300165,0.03632482,-0.34623882,-0.16312183,-0.67651135,0.122530416,-0.012055002,1.2638261,-0.19043387,0.376917,-0.5228648,0.12955426,-0.54987353,-1.0897208,0.35723177,-0.002354525,-0.93235976,-1.4055175,1.3177152,0.18552594,1.0410765,0.82327175,-0.4558581,-0.22710174,0.23874392,0.6218964,0.092362665,2.7058976,0.43338752,-0.8534886,-0.78581136,-0.78334856,-0.6130097,-0.3915279,0.33539242,-0.88839096,1.0187547,0.20660868,0.36574262,0.11010946,0.020755492,0.19482414,0.019993383,-0.032685746,-0.6691771,-1.4031001,-0.0693004,-0.3745316,0.05853386,-0.30005983,-0.47644815,-0.36173242,-0.8627728,-0.5721454,-0.5256619,-0.71716624,-0.19857202,-0.9112438,0.723061,0.2577948,0.34349546,0.36290118,-0.39138925,-0.749714,-0.035003643,-0.6162519,1.0679654,-0.17988789,-0.7764174,-0.4279632,0.25692183,-0.030624595,-0.63854915,0.003332247,1.0777872,-0.2813618
-0.98810923,9.103045,0.21527825,-0.3056894,-0.5231451,-0.42954245,0.275586,-0.7555261,-0.20889936,0.19106708,1.3194896,-0.08334319,-1.6015246,0.034743123,-0.6835056,-1.1322643,-0.07860295,-0.3876734,0.94717413,-0.11848896,-1.0888253,0.100773394,1.4600104,0.4053181,-0.16092606,-0.36487705,3.1002443,0.21095227,-0.9539858,-0.19389462,-0.89301574,1.1581922,0.16755855,-0.20892468,-1.095985,0.95355505,0.7136914,-0.29554302,-0.2637648,0.19002435,-0.92879677,0.07444884,-0.39982045,-0.18161736,0.7965037,0.46755567,-0.76858157,0.008093697,0.4196914,-0.13317963,1.2640258,0.21326254,0.16615541,-0.11622469,-0.5972421,-0.925996,-1.266073,-0.7173079,0.26993844,-0.9427298,1.0451081,-0.18453349,0.1435734,0.011276182,-0.3122472,-0.8200174,-0.32686135,-0.06749634,-0.36351433,-1.5183871,0.28854343,0.019685935,-0.22594649,-0.013340071,-0.11996874,-0.73789805,-0.47004905,-1.1111314,-0.80149144,-0.13238704,-0.3101631,-1.5933034,-0.28665963,-0.49412772,-0.3663366,0.080798805,0.14881273,0.20209639,-0.053606104,-1.307735,-0.5489582,-0.19227393,-0.78015757,0.6857816,-0.25839424,0.28470182,-1.2274199,0.6347855,0.28648958,-0.81340957
-1.0945317,9.112764,0.6829387,-0.16277194,-0.74862486,-0.043740295,0.43507892,-0.37152448,-0.57244515,-0.033919964,1.5148363,0.17476617,-1.4207084,0.23822838,-0.47775745,-0.5894487,-0.06146451,-0.53183156,0.61226124,-0.38757676,-0.8751319,-0.23150358,1.0199273,0.20977531,-0.00097384304,-0.7086715,1.9669573,0.54252917,-0.85365087,0.597298,-0.2678783,1.1801136,-0.31902495,1.0637232,-0.70105827,0.44350097,0.2933655,-1.0000746,0.093313545,0.12470264,-1.7178131,-0.49189344,-0.48048502,0.41037488,0.65434736,0.26258454,-0.56398934,0.14377822,0.1999541,-0.016016517,0.4118154,-0.12160419,-0.4133125,-0.27632022,-0.65016544,-0.65180695,-0.86077136,-0.57826626,0.61316574,-1.0853156,1.0704317,-0.39634216,-0.019331418,-0.09385148,-0.1535694,-0.74889535,-0.507157,0.22036108,-0.6959633,-1.0644662,-0.33224535,0.2728944,-0.25554147,0.30971467,-0.10109709,-0.74546,-0.057544954,-1.187877,-0.93593955,-0.12625135,-0.42569393,-1.2166342,0.08245711,-0.13949268,-0.11417333,0.4233367,-0.24304686,0.36836672,-0.32643458,-1.4401753,-0.9278764,-0.18596151,-0.3628719,0.96729505,0.090786606,1.157375,-0.82590806,0.34179673,0.6153777,-0.084208414
