class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61,class_62,class_63,class_64,class_65,class_66,class_67,class_68,class_69,class_70,class_71,class_72,class_73,class_74,class_75,class_76,class_77,class_78,class_79,class_80,class_81,class_82,class_83,class_84,class_85,class_86,class_87,class_88,class_89,class_90,class_91,class_92,class_93,class_94,class_95,class_96,class_97,class_98,class_99
6.767347,-0.74694103,-0.6078969,-0.23038957,0.70521796,-0.33889267,-0.19422534,-0.14299403,0.0074254815,0.0913178,-0.7195726,1.1965439,-0.4512511,-0.44813824,1.4062963,0.17551713,0.34297264,-0.18304336,-0.3697949,-0.8701189,-0.9839206,-0.6728419,-0.22982953,1.2676083,0.3690084,-0.3251243,-0.03364905,-1.1256472,-0.326981,-0.28426865,0.20898221,-0.44839296,-0.061122846,-0.1707508,1.1926366,-0.2597206,0.3822221,-0.71508783,0.3685152,-0.568346,-0.8523082,0.0069370097,-0.33691695,-0.24132875,-0.1486363,0.61200505,0.24209695,0.2793018,-0.16036399,-0.613219,-0.18704367,-0.76959246,0.29445872,-0.14598285,0.20659475,-0.48411,0.43197694,-0.8276487,0.95544815,0.70363617,0.11793872,-0.7372984,0.14666791,-0.042097602,-0.9407646,-0.06652856,-0.36317125,-0.37876394,-0.9474167,-1.2492071,0.3554384,-0.5442499,0.0136806965,-0.24442202,1.2599967,0.24262229,0.5182205,-0.3371062,-0.039330065,-0.26421535,0.1984635,-0.23982638,-0.3964868,0.20134278,-0.671439,-0.23682576,4.864529,1.1074361,-0.9115668,-0.31225386,-0.34929135,-0.5828717,0.4422504,-0.016221108,0.10567701,-0.35432696,1.2290163,0.9379535,-0.48189524,0.039691072
5.476935,-0.6948705,-0.31276485,-0.6398717,0.5341306,-0.21038118,-0.2699338,0.116138324,0.31089175,-0.73831064,-0.62705064,1.4210124,-0.23802769,-0.28379363,1.0773154,0.61396545,0.4624062,0.00042828545,-0.5877837,-0.31859493,-0.91477215,-0.5486907,0.051990323,1.0940025,0.3927421,-0.41096106,-0.3625414,-1.3842235,-0.42438468,0.14769404,0.011795189,-0.4510648,0.077726275,-0.21159096,0.7773505,-0.23259562,0.00045879744,-0.7213537,0.060661726,-0.51919234,-1.1855189,0.07192429,0.28401726,-0.07507006,0.15938121,1.0057284,0.60060126,-0.046474777,-0.123413615,-0.55134994,-0.3448707,-0.60199434,1.9932166e-05,0.21499549,0.70739675,-0.34430733,0.2118223,-0.73128366,0.31171632,0.5853643,-0.13948072,-0.6210367,-0.49045396,-0.43068045,-0.95680046,0.21273446,-0.5570712,-0.102582864,-0.061991304,-0.99241847,0.45773473,-0.6225728,-0.11549379,0.0460431,0.7026053,0.29115644,0.30286866,-0.55062443,0.0017178953,0.33499014,0.0633016,-0.58127785,-0.31270498,1.2147126,-0.77063686,0.05113002,5.281508,1.1735584,-0.9878403,-0.4745946,0.22381313,-0.29932663,-0.016198533,0.14445995,-0.20310692,-0.014846146,0.5765982,1.1169922,-0.57904047,0.010427121
6.403493,-0.67601734,-1.1336002,0.38569745,0.779601,0.5366002,-0.27376786,-0.023601975,-0.21576771,0.009912824,-1.4687003,2.6505632,-0.60594916,-0.20178458,2.0489798,-0.13870314,-0.09800647,0.04344552,-0.78539324,-0.55063426,-1.3815085,-0.6673713,-0.22094415,1.2912313,0.18981281,-0.48337904,-0.39971793,-0.91182077,-0.75656354,0.02026337,0.012994837,-0.57210976,0.5642268,0.38385662,1.6906489,-0.48635247,0.3062315,-0.43106964,0.24674171,-0.25236228,-0.97362137,-0.21390387,0.03377179,-0.5326893,0.46649733,0.16525547,0.803831,0.653281,-0.016126696,-0.5016555,-0.37242216,-0.9745439,-0.2039622,-0.23322225,0.013372192,0.12544449,0.77676415,-0.8598342,0.7061266,-0.16900973,0.05977395,-0.75496644,0.06654027,-0.7655276,-0.96013045,0.33663246,-0.3942588,-0.4680236,-1.2226081,-1.685707,0.5167443,-0.12188648,0.29297483,-0.12375,2.6187062,-0.24692929,0.32308558,-0.2795738,0.20631886,-0.30775055,0.27465922,-0.6645747,-0.69475025,-0.4392409,-0.3681039,-0.03414427,3.6147428,0.56091714,-1.3247341,-0.068117835,-0.7000365,-0.41402507,0.7321787,0.39958757,0.5314855,-0.16065714,1.4725229,0.84171,-0.55251235,-0.16007434
7.0565257,-0.5980688,-0.57129765,-0.03970116,0.4226607,0.3423891,-0.33028775,0.11295295,-0.06738411,-0.05305965,-1.0351602,1.9289852,-0.46623152,-0.48503947,1.6341237,0.24891528,0.22921337,-0.058178943,-0.6790568,-0.8378093,-1.0628515,-0.67727673,-0.12953627,0.6127898,0.05207036,-0.21863797,0.10880954,-1.3600633,-0.44659114,0.20733579,0.3418808,-0.6306614,0.2101114,0.091711506,1.4048675,-0.06418067,0.36280495,-0.7496728,0.5377866,-0.5229661,-0.75629944,-0.39548245,-0.1535346,-0.5498207,0.055945076,0.35408285,0.4629759,0.41847515,-0.07462006,-0.23171806,-0.24396689,-0.70157534,-0.072635725,-0.4682439,0.13755737,-0.43197605,0.3758869,-0.8562666,0.7186308,0.121250935,0.1843952,-0.5289448,-0.14538005,0.029385153,-0.7264011,-0.23616852,-0.44769898,-0.38327447,-0.9154129,-1.2562599,0.12765577,-0.43190846,-0.087760374,-0.42689547,1.8318894,0.24108511,0.5364421,-0.32083842,0.06872045,-0.072426274,-0.010212287,-0.5147553,-0.68964374,0.2721044,-0.58723235,0.21912351,4.592181,1.2714187,-0.7553716,0.019287061,-0.32254872,-0.27020055,0.9044399,-0.119937435,0.27900082,0.06435651,0.915095,0.57525784,-0.7502013,0.1464146
6.842226,-0.8074111,-0.26558608,0.09293235,0.43144226,0.16323224,0.054280713,-0.16429763,0.2041377,0.3163584,-0.64623445,0.6042375,-0.6361914,-0.9795217,2.0938768,0.7125934,0.75762004,-0.4249868,-0.25015676,-0.7793736,-1.2131811,-0.94019973,-0.14780846,1.6327871,0.3538083,-0.37794477,-0.6780895,-1.1567273,-0.78386295,0.18330233,0.5475237,-0.9085559,0.08711605,0.2675359,0.8232719,-0.3392515,0.26042005,-0.6805685,-0.24857834,-0.5326003,-1.440254,-0.0042645657,-0.017319234,-0.42819092,0.44704962,0.3631222,0.4728375,0.14050983,-0.40577903,-0.8199962,-0.7246084,-0.86126524,0.04768256,-0.2713597,0.7229644,-0.8695996,0.15281382,-0.8889903,0.21311866,0.39458326,0.4374527,-0.7586123,-0.21998294,-0.38355285,-1.5412931,0.4106091,-0.40235937,-0.44934595,-0.08729251,-1.4373212,0.5009725,-0.09571275,-0.6049905,0.35133097,1.222401,-0.64439565,-0.046450604,-0.37438393,-0.097851075,-0.48645452,0.29086083,-0.6518248,-0.42690814,1.0684922,-0.41450417,0.50025153,3.7522025,0.97785825,-0.88727003,-0.69880956,-0.035809565,-0.20079012,0.5128477,-0.024468804,-0.30225548,0.21341768,1.0730324,0.86951613,-0.49927393,-0.46398047
0.54176974,6.0881767,-0.1861254,-1.8540674,-0.36873525,-1.1803591,-0.13014719,-0.1193942,-0.0006762799,0.25157028,1.8547916,-0.51982296,-0.5516496,-0.022080416,-1.0573559,-0.44930458,0.027060954,-1.1401104,-0.03640929,-1.8042374,-0.028344098,0.03836293,1.3466526,0.86836433,0.31190887,-0.8646809,2.2822244,-0.6819863,-1.3229201,-0.6205148,-0.3844932,-0.23158222,-1.1144607,0.38522837,0.05899041,0.20700407,2.4539156,0.446652,-0.08943228,-0.6870412,0.17816049,1.1339142,0.41336992,-0.4715742,1.0271562,0.9443968,-0.668513,0.53413737,-0.30179727,-1.0443352,1.7704126,-0.90489614,-0.8357371,1.6341431,-0.5334713,-0.864745,-0.678126,0.3129342,-0.11383526,-1.0585699,-0.13189194,-0.47688082,-0.48563296,0.83683795,-0.15633917,-0.7519759,-0.32174838,-0.48694083,-0.9230486,-0.88020504,-0.66338843,0.30014125,-0.63875335,0.2640701,-0.9169112,-0.57407624,-0.33356988,-0.966497,-0.23270273,0.051018868,0.54416955,-1.1957182,-0.4816678,-1.036591,-0.22670741,-0.437942,-0.30656183,0.1891262,-0.5272637,-0.3737848,1.1305043,1.3865961,-0.19312787,0.6229349,-0.5552652,0.75996375,-0.83602625,0.17421776,0.03346417,-0.8820614
-0.25237146,6.649356,0.5940933,-0.8745475,0.12570617,-1.0718067,-0.59423774,0.0834752,0.43027493,-0.18558416,2.2511947,-0.5342323,-1.2716503,-0.080833904,-0.8908173,-0.5206834,-0.2555052,-0.21720076,-0.59889054,-0.8403356,-0.15972093,1.2654479,2.4258041,0.56227016,1.4911045,-0.90999526,2.2165616,-0.8164814,-1.5235976,-0.49251094,-0.19098951,-0.17934299,-0.31280544,0.38728666,0.54979324,0.30635172,1.5174935,0.20019576,0.11186821,-0.32923144,0.43531126,0.940135,-0.21927965,-0.7417841,0.58484566,0.47655,-0.6173605,0.3483086,-0.41289178,-0.50661075,0.8525456,-0.35293782,-1.004638,1.5969231,-1.0588496,-0.6789827,-0.7045353,0.57253987,-0.1521504,-0.67251533,0.18170619,-0.2548116,-0.74343526,-0.44054627,-0.0008786991,-0.4898714,0.09312741,-0.6029927,0.12986998,-1.288548,-0.8236391,0.47107577,-0.5066695,-0.31807867,-1.4763005,-1.0791668,-0.66184866,-1.2046139,-0.5917031,-0.5562592,-0.56460685,-1.0681174,-0.7260386,-0.72061974,-0.98695076,-0.2872356,-0.0115107,0.08163817,-0.4014231,-0.099242546,1.7051501,1.655409,-0.8629541,1.1421746,-0.042189203,0.50022215,-0.5989547,0.45000574,0.2443408,-0.5518094
-0.24059582,5.3036633,0.88298845,-0.5129135,1.1219143,-0.94246066,0.3086686,-0.15973613,0.058792032,-0.83841944,1.328131,-0.5338829,-0.7372004,-0.49312162,-1.206287,0.1220765,0.5528525,0.29334196,-0.6657186,-1.0538461,0.2044198,1.5557503,2.6734989,-0.5265027,1.9590143,-0.41832784,1.295156,-0.7289529,-1.6909832,-1.0453988,-0.18560164,-0.11309213,-0.5035587,1.5237175,1.2170619,0.36575386,0.7078381,0.11421536,0.895215,-0.8517345,0.8385761,0.44903678,0.77794015,-1.0014522,1.3559998,0.35851073,-0.6861702,0.015622988,-0.6401397,0.16599192,-0.31297368,1.1213486,0.4400312,0.9818216,-0.94462264,-0.46321315,-0.9357906,0.023466742,-0.48207343,-0.60485417,-0.28010735,0.6247507,-0.7246224,-0.28905833,0.36477908,-0.25972393,0.037396904,-0.032710783,0.04281365,-1.5761628,-0.98879534,0.72153205,-0.44909495,-0.05647875,-1.0424882,-0.39659,-1.079535,-0.0028521987,-0.517824,-0.12173031,-0.22028255,-1.3117341,-0.64185375,-1.1635876,-0.9571852,-0.26712334,-0.17167607,-0.9205921,0.22322209,0.07948225,1.8129102,1.1657033,-1.3456726,-0.107831195,-0.3833456,-0.013701558,-0.36554793,-0.2804626,-0.6718304,-0.20539488
-0.1822328,6.527436,-0.24285996,-1.2871755,-0.3424607,-1.0394716,-0.6327425,0.1872064,0.37265947,-0.21923795,2.268051,-0.7402559,-0.7189603,-0.3583699,-0.6573404,-0.69194734,-0.22933264,-0.1942454,-0.09281221,-1.5173051,-0.5530224,1.0515857,1.585339,0.85118914,0.18492898,-1.1731421,2.9121602,-0.67103505,-1.9674451,-0.7441229,-0.44924587,0.5592875,-0.48681352,-0.36864758,-0.33916068,0.6351439,1.431096,-0.021432556,-0.36813742,-0.49424145,0.46423352,1.1276418,0.010966433,-1.0335093,0.025159754,0.70522773,-0.5072738,0.55248237,-0.5509871,-0.59624195,1.5755756,-0.45577323,-0.6690844,2.5482092,-0.9085076,-0.3504282,-0.77318937,0.7123457,-0.21009089,-0.7169491,-0.5496108,-0.28661826,-0.7825509,-0.29652184,-0.08397283,-0.61050355,0.0002218904,-0.4008865,-0.13891275,-0.41556853,-0.71025676,0.6851955,-0.6821214,-0.30821455,-1.4506551,-1.0627304,-0.6543762,-0.9320865,-0.6987882,-0.20386334,-0.09638119,-0.55857074,-0.9446337,-1.1738309,-0.47232258,0.01830289,-0.112788476,0.036544275,0.36083186,-0.49987942,0.29431796,1.2710586,-0.6174822,0.6467921,0.093630664,0.53789437,-0.49946278,0.7215821,0.15073249,-0.39078575
-0.13007754,6.345685,0.01931188,-1.2103449,-0.68743354,-1.1618272,-0.6527515,0.20447332,-0.027809834,-0.24565206,2.1840677,-0.47508508,-0.71969706,0.088426456,-0.3331494,-0.789188,-0.6112718,0.19017604,0.059289917,-1.3548045,-0.70866245,0.6393652,1.084738,0.90144956,0.43752646,-1.212978,2.7046719,-0.6236361,-1.6025593,-0.12599097,-0.26729643,0.08805506,-0.74798554,0.22185396,0.036490485,0.41943207,1.9554818,0.18775567,0.042771585,-0.33858338,0.45747453,0.9013949,-0.099566,-0.6752327,0.032962434,0.5593114,-0.5001694,1.0095636,-0.7131811,-1.0672998,0.8427155,-0.5248003,-1.0027987,1.1865268,-0.99014604,-0.4761549,-0.29595912,0.793275,0.10123296,-0.58582455,0.023749728,-0.43551975,-0.4776069,-0.19550014,-0.040593334,-0.8027706,-0.13761322,-0.5316987,-0.5711829,-0.74625754,-0.9477678,0.5797483,-0.5728612,-0.15228418,-0.9473973,-0.9089889,-0.6616854,-1.0993625,-0.5281953,-0.61616725,-0.07811302,-0.5375356,-0.9366116,-1.342781,-0.060763396,-0.2542338,-0.12542582,0.42719197,-0.6915425,-0.5758905,0.23574439,1.178916,-0.20324409,1.1988562,0.018715067,0.86615527,-0.23822987,0.44711342,0.4540634,-0.47340325
